class_id,class_name,iou,accuracy,gt_pixels,present
0,background,0.9269772370805289,0.9609306644532675,380721192,True
1,candy,0.00038622684183856336,0.0003863139774578068,323571,True
2,egg tart,0.0,0.0,113140,True
3,french fries,0.48319165915907974,0.6745098928323727,5822094,True
4,chocolate,0.1787100184057897,0.2796030799026559,551446,True
5,biscuit,0.44076845460415154,0.6582860354404271,3925122,True
6,popcorn,0.30766447985004686,0.5840788265687384,281022,True
7,pudding,0.0,0.0,22121,True
8,ice cream,0.3670852483581821,0.5828733220304687,8984743,True
9,cheese butter,0.12555527217437623,0.17129184824091295,3443036,True
10,cake,0.39463554952012186,0.4968314919759688,7271719,True
11,wine,0.22426251924243132,0.2880808436411847,1068037,True
12,milkshake,0.3724398528185039,0.6258481672793589,1530948,True
13,coffee,0.3631740602206556,0.41244698901091187,1139858,True
14,juice,0.33196678331191376,0.5250388355933151,2556289,True
15,milk,0.2518381580605857,0.3633832928757544,808254,True
16,tea,0.0,0.0,163139,True
17,almond,0.2692856942244998,0.49958516202729514,498990,True
18,red beans,0.06893582862782807,0.08733820729591679,745321,True
19,cashew,0.0,0.0,114255,True
20,dried cranberries,0.0,0.0,110381,True
21,soy,0.46604637851624603,0.6014139553005061,492802,True
22,walnut,0.10975180947315753,0.17904150989946338,486390,True
23,peanut,0.0,0.0,108047,True
24,egg,0.4278100753221609,0.6820094036129671,4841118,True
25,apple,0.38380608513078845,0.5467161575885117,1959686,True
26,date,0.0,0.0,56548,True
27,apricot,0.0,0.0,255111,True
28,avocado,0.045079503933540425,0.05105501796976227,593497,True
29,banana,0.6802947252645025,0.8389063218197951,2562838,True
30,strawberry,0.7280674964398403,0.8953730985048445,5591258,True
31,cherry,0.2986910647549745,0.5129871507550202,895539,True
32,blueberry,0.6078963745807484,0.8277697561745977,709196,True
33,raspberry,0.482402211640858,0.6338699040035174,286573,True
34,mango,0.2971027853358156,0.4080996118746442,813397,True
35,olives,0.21457553910779142,0.2311655540748043,492993,True
36,peach,0.25345402700451597,0.4507587187355761,838453,True
37,lemon,0.7322304088020782,0.8584866235477155,4395747,True
38,pear,0.04744606737863994,0.06269879051912657,527251,True
39,fig,0.5070981378816026,0.7279871902561948,190480,True
40,pineapple,0.40842411234588766,0.5978595299814986,1568534,True
41,grape,0.5288175299820133,0.716808080378615,752638,True
42,kiwi,0.7628562002556807,0.8658699627002121,341825,True
43,melon,0.0,0.0,165621,True
44,orange,0.44606234313163995,0.5952087073880501,2063535,True
45,watermelon,0.28277114873915754,0.44545088566827695,298080,True
46,steak,0.42648144728129816,0.5575654367700982,19814051,True
47,pork,0.1596268308215734,0.2748584447734614,16124802,True
48,chicken duck,0.3996238964696292,0.6282573778932599,34469596,True
49,sausage,0.2704165309349779,0.5177960046604578,3240025,True
50,fried meat,0.14725845820103958,0.188445659591908,6573322,True
51,lamb,0.11075424177067786,0.1779275171565126,2428961,True
52,sauce,0.3338544424508765,0.5157216714647787,9919874,True
53,crab,0.2762175864005163,0.27667071213248245,1047263,True
54,fish,0.293717296701951,0.44689239354872834,7127463,True
55,shellfish,0.7750024403069434,0.8687725243112546,2833050,True
56,shrimp,0.48169079837907053,0.7083020539676973,3347521,True
57,soup,0.3739086918007738,0.673418232656653,1312535,True
58,bread,0.5227518013742289,0.7066621718082675,28850742,True
59,corn,0.8279263344369826,0.9067184027912716,8002661,True
60,hamburg,0.0,0.0,39948,True
61,pizza,0.3202930051343265,0.5086870444595941,1130937,True
62,hanamaki baozi,0.02600460516717518,0.0525907985344978,389764,True
63,wonton dumplings,0.0,0.0,1281463,True
64,pasta,0.5329045632673804,0.6616062352092125,7813563,True
65,noodles,0.5530219247311158,0.764360737348326,7892335,True
66,rice,0.706731217726946,0.8769937567656191,11661904,True
67,pie,0.29358500071970023,0.3910629414144973,15485162,True
68,tofu,0.27630856642546764,0.43850789776465876,1088156,True
69,eggplant,0.0,0.0,172858,True
70,potato,0.5567540008730214,0.7587099893333106,15711529,True
71,garlic,0.16755716315721483,0.19810911534701858,327360,True
72,cauliflower,0.594616136509621,0.795913263576257,2675093,True
73,tomato,0.6550442176008453,0.7835087758214073,8475332,True
74,kelp,0.0,0.0,73975,True
75,seaweed,0.40376556245913897,0.4064226568380985,422442,True
76,spring onion,0.13185450622756495,0.18656537795917957,797983,True
77,rape,0.2797879444110366,0.41769714594142077,907830,True
78,ginger,0.0,0.0,245386,True
79,okra,0.347544571367567,0.6929880579858229,93954,True
80,lettuce,0.5044033403693129,0.6632750154737732,5803368,True
81,pumpkin,0.28399946927134706,0.7943162053558042,533552,True
82,cucumber,0.5996459806520323,0.783049043765604,5897508,True
83,white radish,0.03587642148831385,0.0359833073015981,823354,True
84,carrot,0.7498058055709443,0.9135406668727026,11641982,True
85,asparagus,0.6272992823326753,0.7705395154463051,3935828,True
86,bamboo shoots,0.0,0.0,151253,True
87,broccoli,0.8338660369095403,0.9447784750318253,11852208,True
88,celery stick,0.5594243543407132,0.7948996920242927,1389720,True
89,cilantro mint,0.46380524108830423,0.705003940095902,5464334,True
