class_id,class_name,iou,accuracy,gt_pixels,present
87,broccoli,0.8338660369095403,0.9447784750318252,11852208,True
59,corn,0.8279263344369826,0.9067184027912716,8002661,True
95,green beans,0.7828611125310371,0.8682120833199739,2152041,True
55,shellfish,0.7750024403069434,0.8687725243112546,2833050,True
42,kiwi,0.7628562002556807,0.8658699627002121,341825,True
84,carrot,0.7498058055709443,0.9135406668727026,11641982,True
37,lemon,0.7322304088020782,0.8584866235477155,4395747,True
30,strawberry,0.7280674964398403,0.8953730985048445,5591258,True
66,rice,0.706731217726946,0.8769937567656191,11661904,True
29,banana,0.6802947252645025,0.8389063218197951,2562838,True
