class_id,class_name,pixels,pct_of_image,pct_of_food
84,carrot,111441,44.8779800257732,61.81550920789883
66,rice,35983,14.490576675257731,19.959507432882184
96,French beans,20647,8.314674613402062,11.452740181939204
48,chicken duck,5551,2.235422036082474,3.079099179054804
56,shrimp,5002,2.0143363402061856,2.774572886620812
18,red beans,1366,0.5500966494845361,0.7577102285333925
103,other ingredients,125,0.0503382731958762,0.0693365875305081
46,steak,75,0.0302029639175257,0.0416019525183048
52,sauce,64,0.0257731958762886,0.0355003328156201
47,pork,26,0.0104703608247422,0.0144220102063456
