class_id,class_name,iou,accuracy,gt_pixels,present
48,chicken duck,0.4236001289438496,0.6815126002637223,34469596,True
58,bread,0.4967877149937468,0.6803647892314173,28850742,True
46,steak,0.3772728954367959,0.5476058378975607,19814051,True
47,pork,0.1755336700387846,0.2938176233109715,16124802,True
70,potato,0.5075078494154789,0.7018924128899231,15711529,True
67,pie,0.2298052965453897,0.3062127474029655,15485162,True
87,broccoli,0.7942567909430099,0.9291292390413668,11852208,True
66,rice,0.6440089231797286,0.8536758663079373,11661904,True
84,carrot,0.7200558672019873,0.8987787474675704,11641982,True
52,sauce,0.3469136033754961,0.5096168560205503,9919874,True
