class_id,class_name,iou,accuracy,gt_pixels,present
87,broccoli,0.7942567909430099,0.9291292390413668,11852208,True
59,corn,0.7872318418914018,0.8721404042980204,8002661,True
95,green beans,0.7515602728753307,0.8658752319309901,2152041,True
84,carrot,0.7200558672019873,0.8987787474675704,11641982,True
30,strawberry,0.6866365765997138,0.8740970278960477,5591258,True
66,rice,0.6440089231797286,0.8536758663079373,11661904,True
37,lemon,0.6309653531497471,0.8196151871342914,4395747,True
96,French beans,0.6115871857019666,0.8394974860817681,3855734,True
73,tomato,0.610770649817111,0.7400357885685186,8475332,True
55,shellfish,0.5967607764087783,0.7730742486013307,2833050,True
